;;;Availability;Direct and indirect emissions;Price;
;;units;[GWh/y];[ktCO2-eq./GWh];[Meuro/GWh];
Category;Subcategory;parameter name;avail;gwp_op;c_op;Comment
Non-renewable;Other non-renewable;ELECTRICITY;1000000000000000.0;0.0;0.104928;
Non-renewable;Fossil fuel;GASOLINE;1000000000000000.0;0.3448;0.094047856;
Non-renewable;Fossil fuel;DIESEL;1000000000000000.0;0.3148;0.09105369;
Renewable;Renewable fuel;GASOLINE_RE;1000000000000000.0;0.0;0.12863;
Renewable;Renewable fuel;DIESEL_RE;1000000000000000.0;0.0;0.12863;
Non-renewable;Fossil fuel;LFO;1000000000000000.0;0.3115;0.068681616;
Renewable;Renewable fuel;LFO_RE;1000000000000000.0;0.0;0.12863;
Non-renewable;Fossil fuel;JET_FUEL;1000000000000000.0;0.3148;0.09105369;
Renewable;Renewable fuel;JET_FUEL_RE;1000000000000000.0;0.0;0.12863;
Non-renewable;Fossil fuel;GAS;1000000000000000.0;0.2666;0.053298668;
Renewable;Renewable fuel;GAS_RE;1000000000000000.0;0.0;0.104306364;
Renewable;Biomass;WOOD;110805.66472222222;0.02456;0.013612498;
Renewable;Biomass;WET_BIOMASS;1450.622309335963;0.01056;0.018954999;
Renewable;Biomass;ENERGY_CROPS_2;7754.110000000001;0.00756;0.018644526;
Renewable;Biomass;BIOMASS_RESIDUES;4985.241666666667;0.01488;0.000121736;
Renewable;Biomass;BIOWASTE;4720.944444444444;0.00324;0.011873285;
Non-renewable;Fossil fuel;COAL;1000000000000000.0;0.4014;0.01814538;
Non-renewable;Other non-renewable;URANIUM;1000000000000000.0;0.0039;0.003876456;
Non-renewable;Other non-renewable;WASTE;11095.02;0.1501;0.008096237;
Non-renewable;Other non-renewable;H2;1000000000000000.0;0.336562583;0.095506697;
Renewable;Renewable fuel;H2_RE;1000000000000000.0;0.0;0.100630378;
Non-renewable;Other non-renewable;AMMONIA;1000000000000000.0;0.285;0.114074182;
Non-renewable;Other non-renewable;METHANOL;1000000000000000.0;0.35;0.116450269;
Renewable;Renewable fuel;AMMONIA_RE;1000000000000000.0;0.0;0.070895279;
Renewable;Renewable fuel;METHANOL_RE;1000000000000000.0;0.0;0.100145113;
Export;Export;CO2_EMISSIONS;1000000000000000.0;0.0;0.0;
Renewable;Non-biomass;RES_WIND;1000000000000000.0;0.0;0.0;
Renewable;Non-biomass;RES_SOLAR;1000000000000000.0;0.0;0.0;
Renewable;Non-biomass;RES_HYDRO;1000000000000000.0;0.0;0.0;
Renewable;Non-biomass;RES_GEO;1000000000000000.0;0.0;0.0;
Others;Others;CO2_ATM;1000000000000000.0;0.0;0.0;
Others;Others;CO2_INDUSTRY;1000000000000000.0;0.0;0.0;
Others;Others;CO2_CAPTURED;1000000000000000.0;0.0;0.0;
Others;Others;PT_HEAT;1000000000000000.0;0.0;0.0;
Others;Others;ST_HEAT;1000000000000000.0;0.0;0.0;
