Category;Subcategory;parameter name;HOUSEHOLDS;SERVICES;INDUSTRY;TRANSPORTATION ;Units 
Electricity;Electricity;ELECTRICITY;8516.67572508222;10913.485786707224;23481.289496534395;0.0;[GWh]
Heat;High temperature;HEAT_HIGH_T;0.0;0.0;59964.82302848079;0.0;[GWh]
Heat;Space heating;HEAT_LOW_T_SH;38666.81895449231;25829.06832592135;22165.12391671683;0.0;[GWh]
Heat;Hot water;HEAT_LOW_T_HW;5028.178408265859;4786.49463777532;9152.398778538782;0.0;[GWh]
Cold;Process cooling;PROCESS_COOLING;0.0;0.0;3766.199342163324;0.0;[GWh]
Cold;Space cooling;SPACE_COOLING;391.80455889014473;1133.9141283767742;520.9878050205606;0.0;[GWh]
Mobility;Passenger;;0.0;0.0;0.0;91991.77251460042;[GWh]
Mobility;Freight;;0.0;0.0;0.0;34442.430761816075;[GWh]
Mobility;Long-haul passenger flights;;0.0;0.0;0.0;14871.539375560908;[GWh]
Mobility;International shipping;;0.0;0.0;0.0;156651.65502958413;[GWh]
Non-energy;Non-energy;;0.0;0.0;10503.705340575052;0.0;[GWh]
